index,source,target,relation,relation_label,source_label,target_label,source_type,target_type,relation_uri
0,AE10_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향10_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
1,AE10_Pet2,AdditionalEnshrinementPetition,actType,행위유형,추향10_청원2,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
2,AE11_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향11_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
3,AE12_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향12_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
4,AE12_Pet2,AdditionalEnshrinementPetition,actType,행위유형,추향12_청원2,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
5,AE12_Pet3,AdditionalEnshrinementPetition,actType,행위유형,추향12_청원3,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
6,AE13_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향13_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
7,AE14_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향14_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
8,AE15_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향15_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
9,AE16_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향16_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
10,AE16_Pet2,AdditionalEnshrinementPetition,actType,행위유형,추향16_청원2,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
11,AE19_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향19_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
12,AE19_Pet2,AdditionalEnshrinementPetition,actType,행위유형,추향19_청원2,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
